Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2017,"VUOCOLO, L. (co-taught)",CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,18,55,33%,8.5,4.5,4.28,4.33,3.94,4.06,4.39,4.39,4.28,3.94
Spring,2017,"SILVA, G. (co-taught)",CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,18,55,33%,8.38,4.06,4.19,4.06,4.06,4,4.06,4.25,4.06,4.06
Summer,2016,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,E,Lect,1,2,50%,8,5,5,5,5,5,5,5,5,5
Summer,2016,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,U,Lect,3,6,50%,6,4.67,4.33,4.33,4,4.33,3.33,4.67,4,4
Spring,2016,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,16,35,46%,8,4,3.88,3.81,3.56,3.56,3.69,3.94,3.56,3.25
Spring,2016,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,14,Lect,17,28,61%,11.65,3.94,4.06,3.82,3.59,3.53,3.82,4,3.65,3.59
Spring,2016,"MURPHY, T. (co-taught)",CMY,9101,INTRO EXPERMNTL CHEM,W4,Lect,7,7,100%,8.5,4.5,4.5,4.33,4.17,4.33,4.17,4.67,4.5,4.33
Spring,2016,"BACHU, R. (co-taught)",CMY,9101,INTRO EXPERMNTL CHEM,W4,Lect,7,7,100%,7,4.43,4.57,4.57,4.14,4.29,4.57,4.57,4.71,4.86
Summer,2015,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,E,Lect,2,4,50%,8,4.5,4.5,4,5,5,3.5,5,4,4.5
Spring,2015,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,9,30,30%,7,4.56,4.44,4.56,3.89,4.44,4.44,4.67,4.22,4.22
Spring,2015,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,14,Lect,11,28,39%,7.18,4.91,4.73,4.73,4.09,4.73,4.64,5,4.64,4.09
Spring,2015,TERRANCE MURPHY,CMY,9101,INTRO EXPERMNTL CHEM,W4,Lect,7,9,78%,11.57,5,5,4.86,4.86,5,4.86,5,4.86,4.71
Summer,2014,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,E,Lect,4,4,100%,13.5,4.75,4.5,4.75,4.25,4.75,4.75,4.75,4.5,4.75
Summer,2014,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,U,Lect,1,2,50%,5,5,5,5,5,5,5,5,5,5
Spring,2014,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,11,28,39%,7.73,4.27,4.36,4.18,3.45,4.09,4.18,4.18,4.09,3.82
Spring,2014,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,14,Lect,8,13,62%,7.63,4.38,4.13,4.14,4,4.14,4.57,4.71,3.86,4
Spring,2014,TERRANCE MURPHY,CMY,9101,INTRO EXPERMNTL CHEM,W4,Lect,11,12,92%,8.91,4.45,4.64,4.64,3.91,4.18,4.82,4.9,4.64,4.36
Summer,2013,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,E,Lect,4,7,57%,9.5,4.75,4.5,4.5,4.5,4.5,3.75,5,4.75,4.75
Summer,2013,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,U,Lect,2,8,25%,6.5,4.5,4,4,4.5,4.5,3.5,4.5,4.5,4
Spring,2013,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,8,25,32%,6.5,4.5,4.38,4.38,4.13,4.25,4.25,4.88,4.5,3.75
Spring,2013,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,14,Lect,11,25,44%,7.18,4.45,4.27,4.18,3.82,4.09,4.18,4.45,4.09,4.27
Spring,2013,TERRANCE MURPHY,CMY,9101,INTRO EXPERMNTL CHEM,W4,Lect,7,13,54%,8.43,4.71,4.43,4.71,4.57,4.57,4.71,4.67,4.71,4.57
Summer,2012,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,E,Lect,6,9,67%,6.5,4.17,4,4,3.67,4,3.5,4.5,4,4
Spring,2012,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,5,19,26%,5.6,4.8,4.6,4.4,4.2,3.8,4.2,4.8,4.4,4
Summer,2011,CAROLYN NEIDERLANDER,CMY,9101,INTRO EXPERMNTL CHEM,E,Lect,3,5,60%,8,3.33,2.67,2.67,2.67,2.33,2,4.33,2.67,3
Spring,2011,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,10,29,34%,7.7,4.9,4.7,4.5,4,4.5,4.5,4.9,4.8,4.6
Fall,2011,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,11,Lect,10,27,37%,8.3,4,4.3,4.3,3.8,4,4.5,4.5,4.4,4.1
Fall,2011,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,12,Lect,7,16,44%,7.57,4.43,4.14,4,4,4.14,4,4.86,4.14,3.71
Fall,2011,TERRANCE MURPHY,CMY,9101,INTRO EXPERMNTL CHEM,W2,Lect,5,6,83%,8,5,5,5,4.6,5,4.8,5,4.8,4.8
Spring,2010,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,13,Lect,9,27,33%,8.33,4.67,4.89,4.56,4.44,4.22,4.38,4.89,4.44,4
Fall,2010,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,11,Lect,12,29,41%,7.25,4.42,4.5,4.18,4.25,4,4.5,4.83,4.33,3.83
Fall,2010,LEONARD VUOCOLO,CMY,9101,INTRO EXPERMNTL CHEM,12,Lect,17,30,57%,6.76,4.35,4.59,4.59,4.12,4.24,4.41,4.53,4.29,4.29
Fall,2016,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,9,17,53%,8.78,3.56,3.67,3.67,2.89,3.67,3.33,4,3,3
Fall,2015,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,12,24,50%,9.83,3.75,3.75,3.5,3.25,3.83,3.83,3.33,3.5,3.42
Fall,2014,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,6,17,35%,6.5,4.17,4.33,4.67,3.83,4.33,4.33,4.33,4.33,4.33
Fall,2013,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,21,25,84%,7.25,4.14,4.1,4.1,3.95,4.48,3.71,4.57,3.9,3.7
Spring,2012,TERRANCE MURPHY,CMY,9103,ATOMS MOL CHEM CHNG,2,Lect,7,12,58%,8.5,4.29,4,3.71,3.86,4,3.71,4.57,3.71,3.43
Spring,2012,TERRANCE MURPHY,CMY,9103,ATOMS MOL CHEM CHNG,W,Lect,4,12,33%,8,4.25,4.25,4.25,4,4,4.25,4.25,4.25,4.25
Fall,2012,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,14,33,42%,6.64,3.79,3.71,3.64,3.36,3.79,3.71,3.93,3.5,3.46
Fall,2011,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,15,35,43%,6.29,3.73,3.87,3.87,3.2,3.8,3.67,4.13,3.33,3.4
Fall,2010,LEONARD VUOCOLO,CMY,9103,ATOMS MOL CHEM CHNG,1,Lect,23,55,42%,6.43,4.13,4.3,4.35,3.7,4.22,4.13,4.43,4.13,3.87
Summer,2016,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,6,10,60%,9.5,4.67,4.17,4.17,4.33,4.5,3.83,4.83,4.17,4.17
Summer,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,S,Lect,8,8,100%,12.63,4.63,4.38,4.5,4,4.5,4.25,4.63,4.25,3.88
Summer,2016,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,U,Lect,3,9,33%,10,5,4,4,4.33,5,4.67,5,4.33,4.67
Spring,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,66,102,65%,10.23,3.76,3.71,3.75,3.18,3.37,3.35,4.05,3.29,3.29
Fall,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,111,171,65%,10.57,3.81,3.93,4.03,3.43,3.7,3.67,3.81,3.48,3.41
Fall,2016,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,73,129,57%,10.41,3.92,4.23,4.21,3.37,3.78,3.75,3.99,3.63,3.52
Fall,2016,RAVICHANDRA BACHU,CMY,9105,INTRO MOD CHEMSTRY I,W,Lect,16,22,73%,10.56,4.87,4.87,4.73,4.67,4.67,4.93,4.87,4.87,4.6
Summer,2015,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,E,Lect,7,12,58%,12.86,4.71,4.71,4.57,4.29,4.71,4.57,5,4.71,4.57
Summer,2015,CHARLES HENDERSON,CMY,9105,INTRO MOD CHEMSTRY I,U,Lect,8,21,38%,11.5,4.88,4.13,4,4.13,4.88,4.25,5,4,4
Spring,2015,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,51,92,55%,8.59,4.22,3.96,3.9,3.84,3.84,3.69,4.29,3.78,3.55
Fall,2015,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,1,Lect,105,160,66%,10,3.97,4.27,4.16,3.59,3.89,3.84,4.19,3.83,3.66
Fall,2015,LEONARD VUOCOLO,CMY,9105,INTRO MOD CHEMSTRY I,2,Lect,73,111,66%,9.54,4.05,3.99,3.99,3.6,3.7,3.74,4.15,3.66,3.56
