Spring,2015,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,1,13,25,52%,6.38,5,4.92,4.85,4.77,4.85,4.92,4.92,4.77,5
Spring,2014,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,1,21,35,60%,5.57,4.76,4.67,4.67,4.76,4.71,4.71,4.86,4.62,4.62
Fall,2014,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,A,10,12,83%,6.2,4.9,4.8,4.8,4.8,4.8,4.6,4.8,4.9,4.9
Spring,2013,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,1,19,37,51%,6.33,4.74,4.53,4.68,4.26,4.53,4.47,4.74,4.63,4.53
Fall,2013,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,A,13,25,52%,5.69,4.85,4.62,4.62,4.77,4.85,4.54,4.85,4.69,4.85
Spring,2012,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,A,21,42,50%,5.29,4.67,4.29,4.43,4.29,4.52,4.48,4.71,4.43,4.43
Fall,2012,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,A,33,44,75%,5.36,4.82,4.72,4.79,4.58,4.73,4.66,4.79,4.76,4.7
Spring,2011,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGNEER,A,24,43,56%,5.13,4.38,4.17,4.13,4.08,4.33,4.38,4.46,4.38,4.33
Fall,2011,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGINRS,A,29,37,78%,4.9,4.41,4.17,4.31,4.07,4.55,4.24,4.48,4.31,4.45
Spring,2010,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGNEER,A,13,27,48%,3.62,4.54,4.08,4.31,4.46,4.15,4.08,4.23,4.31,4
Spring,2010,MICHAEL LANCET,CIT,39200,BUSINESS FOR ENGNEER,B,11,30,37%,5.27,4.91,5,5,5,4.82,4.73,5,4.82,4.73
Fall,2016,"JACOBSON, A. (co-taught)",CIT,39220,EXPERNTL LEARNG II,B,52,144,36%,2.61,3,3.11,3.03,2.95,2.92,2.97,3.24,2.97,2.95
