num,title,units,lectures,sections,department
48025,First Year Seminar: Architecture Edition I,3.0,"[{'times': [{'days': [2, 4], 'begin': '12:00PM', 'end': '01:20PM', 'building': 'CFA', 'room': '214', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Workinger']}]",[],Architecture
48050,Study Abroad,0.0,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Instructor TBA']}]",[],Architecture
48095,Spatial Concepts for Non-Architects I,9-10,"[{'times': [{'days': [2, 4], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '321', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Barbuto']}]",[],Architecture
48100,Architecture Design Studio: Foundation I,12.0,"[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': 'A14', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Damiani', 'Cooper']}]","[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Damiani']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Damiani']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Damiani']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Dabinett']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'E', 'instructors': ['Damiani']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'F', 'instructors': ['Damiani']}]",Architecture
48120,Digital Media I,VAR,"[{'times': [{'days': [1], 'begin': '10:30AM', 'end': '11:20AM', 'building': 'MM', 'room': '103', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Kim']}]","[{'times': [{'days': [3, 5], 'begin': '10:30AM', 'end': '12:20PM', 'building': 'CFA', 'room': '214', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Kim']}]",Architecture
48121,Drawing I,6.0,"[{'times': [{'days': [1], 'begin': '10:30AM', 'end': '11:20AM', 'building': 'MM', 'room': '103', 'location': 'Pittsburgh, Pennsylvania'}, {'days': [3, 5], 'begin': '10:30AM', 'end': '12:20PM', 'building': 'CFA', 'room': '214', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cooper']}]",[],Architecture
48200,Architecture Design Studio: Elaboration I,18.0,"[{'times': [{'days': [1], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Bard']}]","[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Bard']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Bard']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Bard']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Bard']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'E', 'instructors': ['Bard']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'F', 'instructors': ['Instructor TBA']}]",Architecture
48241,Modern Architecture,9.0,"[{'times': [{'days': [1, 3, 5], 'begin': '10:30AM', 'end': '11:20AM', 'building': 'MM', 'room': 'A14', 'location': 'Pittsburgh, Pennsylvania'}, {'days': [4], 'begin': '07:00PM', 'end': '08:20PM', 'building': 'MM', 'room': '303', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Gutschow']}]",[],Architecture
48250,Case Studies in Architecture and Cities,9.0,"[{'times': [{'days': [2, 4], 'begin': '10:30AM', 'end': '11:50AM', 'building': 'CFA', 'room': '214', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Gruber']}]",[],Architecture
48300,Architecture Design Studio: Integration I,18.0,"[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': 'A14', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Cupkova']}]","[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Instructor TBA']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Instructor TBA']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Instructor TBA']}]",Architecture
48311,History of Architectural Theory,9.0,"[{'times': [{'days': [2, 4], 'begin': '12:00PM', 'end': '01:20PM', 'building': 'DH', 'room': '1117', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Gutschow']}]",[],Architecture
48315,Environment I: Climate & Energy,9.0,"[{'times': [{'days': [2, 4], 'begin': '03:00PM', 'end': '04:20PM', 'building': 'MM', 'room': '103', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Loftness']}]","[{'times': [{'days': [2], 'begin': '06:00PM', 'end': '08:20PM', 'building': 'MM', 'room': '303', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Loftness']}]",Architecture
48324,Structures/Statics,9.0,"[{'times': [{'days': [2, 4], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'MM', 'room': 'A14', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Oppenheim']}]",[],Architecture
48357,Anatomy and Organic Form,9.0,"[{'times': [{'days': [4], 'begin': '09:00AM', 'end': '11:50AM', 'building': 'MM', 'room': '321', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cooper']}]",[],Architecture
48368,"Rediscovering Antiquity: Travelers, Archeologists & Architects in Mediterranean",9.0,"[{'times': [{'days': [2, 4], 'begin': '12:00PM', 'end': '01:20PM', 'building': 'CFA', 'room': '206A', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Torello']}]",[],Architecture
48371,"American House and Housing, 1850-1975",9.0,"[{'times': [{'days': [2, 4], 'begin': '03:00PM', 'end': '04:20PM', 'building': 'CFA', 'room': '102', 'location': 'Pittsburgh, Pennsylvania'}, {'days': [4], 'begin': '01:30PM', 'end': '02:50PM', 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Shaw']}]",[],Architecture
48400,Advanced Synthesis Options Studio I,18.0,"[{'times': [{'days': [5], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Instructor TBA']}]","[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Colvard']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Ficca']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Folan']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Hayes']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'E', 'instructors': ['Arscott']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'F', 'instructors': ['Kline']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'G', 'instructors': ['Mondor']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'H', 'instructors': ['Instructor TBA']}]",Architecture
48432,Environment II: Design Integration of Active Building Systems,9.0,"[{'times': [{'days': [2, 4], 'begin': '09:00AM', 'end': '10:20AM', 'building': 'BH', 'room': '136A', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Baird']}]",[],Architecture
48470,Exploring Pattern Through Lamination,6.0,"[{'times': [{'days': [2, 4], 'begin': '10:30AM', 'end': '11:50AM', 'building': 'CFA', 'room': 'SHOP', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A1', 'instructors': ['Smith']}]",[],Architecture
48473,"Hand and Machine Joinery, New Directions",6.0,"[{'times': [{'days': [2, 4], 'begin': '10:30AM', 'end': '11:50AM', 'building': 'CFA', 'room': 'SHOP', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A2', 'instructors': ['Smith']}]",[],Architecture
48495,Scaling Change,9.0,"[{'times': [{'days': [1, 3, 5], 'begin': '12:30PM', 'end': '01:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Instructor TBA']}]",[],Architecture
48500,Advanced Synthesis Options Studio III,18.0,"[{'times': [{'days': [5], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Instructor TBA']}]","[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Colvard']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Ficca']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Folan']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Hayes']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'E', 'instructors': ['Arscott']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'F', 'instructors': ['Kline']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'G', 'instructors': ['Mondor']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'H', 'instructors': ['Instructor TBA']}]",Architecture
