Course Number,Name,Units
48120,Digital Media I,
48121,Drawing I,6.0
48241,Modern Architecture,9.0
48324,Structures/Statics,9.0
48371,"American House and Housing, 1850-1975",9.0
48432,Environment II: Design Integration of Active Building Systems,9.0
48495,Scaling Change,9.0
48524,Building Performance Modeling,9.0
48531,Fabricating Customization,9.0
48568,"Advanced CAD, BIM, and 3D Visualization",9.0
48655,Environment II: Design Integration of Active Building Systems,9.0
48707,MUD Graduate Seminar,3.0
48715,Computational Design Pre-Thesis Prep,6.0
48716,Computational Design Pre-Thesis Seminar,6.0
48722,Building Performance Modeling,12.0
48729,"Productivity, Health and the Quality of Buildings",
48738,Special Topics: Ecological Footprints,6.0
48759,Value Based Design Introduction,
48767,AECM Synthesis:Theory,6.0
48771,Fabricating Customization,9.0
48774,MAAD Pro-seminar I,3.0
48783,Generative Modeling (GRAD),9.0
48804,International Exchange I,12.0
60105,Critical Theory in Art I,9.0
60205,Modern Visual Culture 1789-1960,9.0
60210,Electronic Media Studio: Introduction to Interactivity,10.0
60223,IDeATE: Introduction to Physical Computing,10.0
60239,"Reading Pictures, Writing Photography",9.0
60242,Digital Photography II,10.0
60250,2D Media Studio: Painting,10.0
60403,Extended Studio,10.0
60417,Experimental Science Fiction,10.0
60430,Advanced SIS: Open Sculpture,10.0
60701,M.F.A. Academic Seminar,12.0
60706,M.F.A. Contextual Practice,12.0
60791,M.F.A. Integrative Seminar,12.0
52190,BXA Seminar I: Building the Wunderkammer,9.0
52400,BXA Seminar: Capstone,9.0
52401,BXA Seminar IV: Capstone Fall,9.0
3115,Phage Genomics Research,6.0
3121,Modern Biology,9.0
3124,Modern Biology Laboratory,9.0
3125,Evolution,9.0
3133,Neurobiology of Disease,9.0
3151,Honors Modern Biology,10.0
3201,Undergraduate Colloquium for Sophomores,
3206,Biomedical Engineering Laboratory,9.0
3232,Biochemistry I,9.0
3301,Undergraduate Colloquium for Juniors,
3320,Cell Biology,9.0
3343,Experimental Techniques in Molecular Biology,12.0
3362,Cellular Neuroscience,9.0
3401,Undergraduate Colloquium for Seniors,
3411,Topics in Research,
3435,Cancer Biology,9.0
3451,Advanced Developmental Biology and Human Health,9.0
3709,Applied Cell and Molecular Biology,12.0
3750,Graduate Seminar,1.0
3751,Advanced Developmental Biology and Human Health,12.0
3755,Graduate Research Seminar,3.0
3762,Advanced Cellular Neuroscience,12.0
3871,Structural Biophysics,12.0
42201,Professional Issues in Biomedical Engineering,3.0
42202,Physiology,9.0
42203,Biomedical Engineering Laboratory,9.0
42341,Introduction to Biomechanics,9.0
42411,Engineering Biomaterials,9.0
42611,Engineering Biomaterials,12.0
42631,Neural Data Analysis,9.0
42671,Precision Medicine for Biomedical Engineers,9.0
42673,Stem Cell Engineering,9.0
42674,Special Topics: Engineering for survival: ICU Medicine,9.0
42677,Rehabilitation Engineering,9.0
42701,Biomedical Engineering Seminar,0.0
42773,Inventive Problem Solving In Biomedical Engineering,12.0
42801,Biomedical Engineering Seminar,3.0
70100,For Business Majors,9.0
70110,Business Computing,9.0
70122,Introduction to Accounting,9.0
70196,Publishing on the World Wide Web,9.0
70208,Regression Analysis,9.0
70311,Organizational Behavior,9.0
70332,"Business, Society and Ethics",9.0
70340,Business Communications,9.0
70341,Organizational Communication,9.0
70345,Business Presentations,9.0
70350,Acting for Business,9.0
70364,Business Law,9.0
70365,International Trade and International Law,9.0
70371,Operations Management,9.0
70376,Energy Systems,9.0
70381,Marketing I,9.0
70391,Finance,9.0
70395,Funding Entrepreneurial Ventures,9.0
70414,Entrepreneurship for Engineers,9.0
70415,Introduction to Entrepreneurship,9.0
70420,Entrepreneurship for Scientists,9.0
70428,Financial Statement Analysis,9.0
70440,Corporate Strategy,9.0
70443,Digital Marketing and Social Media Strategy,9.0
70477,Real Options: Creating Value Beyond NPV,9.0
70481,Marketing Research,9.0
70497,Derivative Securities,9.0
62110,Passport to the Arts,9.0
62150,IDeATe: Introduction to Media Synthesis and Analysis,10.0
62187,Introduction to Playwriting,9.0
62193,Intro to Screenwriting,9.0
62225,Generative Modeling,9.0
62239,"Reading Pictures, Writing Photography",9.0
62242,Digital Photography II,10.0
62247,Introduction to Hot Glass I,3.0
62251,Pendants...Nothing but Pendants...Period!,3.0
62252,Marble Madness,3.0
62258,Raising Cane,3.0
62259,Zen of Stringers and Compressions,3.0
62261,Cold Cuts and Lamination,3.0
62314,The Art of Personal Finance,6.0
62344,Exploration of the Mosaic,3.0
62347,Hot Glass II,3.0
62371,"Photography, The First 100 Years, 1839-1939",9.0
62443,Intermediate Fusing,3.0
62445,Stained Glass Table Lantern,3.0
62446,Hot Glass III,3.0
62447,Hot Glass Open Projects,3.0
62450,Flame I,3.0
62453,Introduction to Fusing and Slumping,3.0
62455,Intro to Found Object and Life Casting,3.0
62461,Coldworking Open Projects,3.0
62467,Hot Glass IV,3.0
62469,Intermediate Stained Glass,3.0
62470,Advanced Stained Glass and Enameling,3.0
62633,Spatial Storytelling via Web Graphics,9.0
62713,Arts Facilities Management,6.0
62714,Galleries & Auction Houses: Economics of the Art Market,6.0
39605,Engineering Design Projects,12.0
39699,Career & Professional Development for Engineering Masters Students,3.0
39810,CPS Seminar,1.0
99101,Computing @ Carnegie Mellon,3.0
99344,Muslims in a Global Context: Muslim Migrations: Pre-Modern Era,3.0
99352,IDeATe: Soft Fabrication Skills,1.0
99353,IDeATe: SolidWorks and Laser Cutting,1.0
99355,IDeATe: Introduction to Arduino,1.0
99357,IDeATe: Pragmatic Phototgraphy,1.0
99358,IDeATe: Introduction to the Unity Game Engine,1.0
99530,Senior Preparation Seminar,6.0
86631,Neural Data Analysis,9.0
6321,Chemical Engineering Thermodynamics,9.0
6608,Safety Issues in Science and Engineering Practice,3.0
6609,Physical Chemistry of Macromolecules,9.0
6614,Special Topic: Formulation Engineering,12.0
6623,Mathmatical Modeling of Chemical Engineering Processes,12.0
6703,Advanced Fluid Dynamics,12.0
6713,Mathematical Techniques in Chemical Engineering,12.0
6810,CPS Seminar,1.0
6820,PSE Seminar,1.0
9105,Introduction to Modern Chemistry I,10.0
9106,Modern Chemistry II,10.0
9107,"Honors Chemistry: Fundamentals, Concepts and Applications",10.0
9122,Molecular Tools for Biological and Chemical Studies,6.0
9207,TBA,9.0
9214,Physical Chemistry,9.0
9217,Organic Chemistry I,9.0
9225,"Climate Change: Chemistry, Physics and Planetary Science",9.0
9231,Mathematical Methods for Chemists,9.0
9323,Bioorganic Chemistry Laboratory,12.0
9344,Physical Chemistry (Quantum): Microscopic Principles of Physical Chemistry,9.0
9509,Physical Chemistry of Macromolecules,9.0
9521,Metals in Biology: Function and Reactivity,6.0
9525,Transition Metal Chemistry,9.0
9536,Transition Metal Catalysis for Organic and Polymer Synthesis,9.0
9603,Mathematical Analysis for Chemistry,6.0
9611,Chemical Thermodynamics,6.0
9700,Introduction to Research,3.0
9715,Physical Chemistry of Macromolecules,12.0
9721,Metals in Biology: Function and Reactivity,6.0
9725,Transition Metal Chemistry,12.0
9733,Chemistry and Light,12.0
9736,Transition Metal Catalysis for Organic and Polymer Synthesis,12.0
9801,Special Topics in Physical Chemistry: Computational Tools for Molecular Science,12.0
9803,Chemistry of Gene Expression,12.0
9811,Special Topics in Organic Chemistry and Chemical Biology: Chemistry of Addiction,12.0
9912,Current Research in Chemistry,1.0
12212,Statics,9.0
12215,Introduction to Professional Writing in CEE,9.0
12301,Civil Environmental Engineering Projects,9.0
12355,Fluid Mechanics,9.0
12401,Civil & Environmental Engineering Design,15.0
12411,Project Management for Construction,9.0
12421,Engineering Economics,6.0
12606,TBA,6.0
12623,Molecular Simulation of Materials,12.0
12629,Environmental Microbiology for Engineers,9.0
12645,Smart Cities: Growth and Intelligent Transportation Systems,6.0
12659,Special Topics: Matlab,6.0
12703,Numerical Methods in Engineering,12.0
12704,Probability and Estimation Methods for Engineering Systems,12.0
12706,Civil Systems Investment Planning and Pricing,12.0
12709,Data Analytics for Engineered Systems,12.0
12720,Water Resources Chemistry,12.0
12729,Environmental Microbiology for Engineers,12.0
12746,Special Topics: Fundamental Python Prototyping for Infrastructure Systems,6.0
12747,Sustainable Buildings,6.0
12755,TBA,12.0
12775,Introduction to Solid Mechanics I,12.0
12780,Special Topics: Advanced Python and Web Prototyping for Infrastructure Systems,6.0
12794,Graduate Seminar,0.0
12798,Professional Communication for CEE Grad Students,3.0
2261,Quantitative Cell and Molecular Biology Laboratory,9.0
2402,TBA,3.0
2450,Robotics and Machine Learning,9.0
2510,Computational Genomics,
2602,Professional Issues in Computational Biology,1.0
2651,New Technologies and Future Markets,12.0
2702,Computational Biology Seminar,3.0
2750,Robotics and Machine Learning,12.0
15110,Principles of Computing,10.0
15121,Introduction to Data Structures,10.0
15122,Principles of Imperative Computation,10.0
15129,Freshman Immigration II,3.0
15210,Parallel and Sequential Data Structures and Algorithms,12.0
15213,Introduction to Computer Systems,12.0
15251,Great Ideas in Theoretical Computer Science,12.0
15252,More Great Ideas in Theoretical Computer Science,3.0
15294,Special Topic: Rapid Prototyping Technologies,5.0
15295,Competition Programming and Problem Solving,5.0
15300,Research and Innovation in Computer Science,9.0
15317,Constructive Logic,9.0
15319,Cloud Computing,9.0
15322,Introduction to Computer Music,9.0
15381,Artificial Intelligence: Representation and Problem Solving,9.0
15394,Intermediate Rapid Prototyping,5.0
15410,Operating System Design and Implementation,15.0
15411,Compiler Design,15.0
15412,Operating System Practicum,
15437,Web Application Development,12.0
15441,Computer Networks,12.0
15445,Database Systems,12.0
15451,Algorithm Design and Analysis,12.0
