num,name,units,lecture_days,l_begin,l_end,recitation_days,r_begin,r_end
48025,First Year Seminar: Architecture Edition I,3.0,"['TU', 'TH']",2017-09-09 12:00:00,2017-09-09 13:20:00,[],,
48095,Spatial Concepts for Non-Architects I,,"['TU', 'TH']",2017-09-09 13:30:00,2017-09-09 16:20:00,[],,
48100,Architecture Design Studio: Foundation I,12.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48100,Architecture Design Studio: Foundation I,12.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48100,Architecture Design Studio: Foundation I,12.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48100,Architecture Design Studio: Foundation I,12.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48100,Architecture Design Studio: Foundation I,12.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48100,Architecture Design Studio: Foundation I,12.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48120,Digital Media I,,['MO'],2017-09-09 10:30:00,2017-09-09 11:20:00,"['WE', 'FR']",2017-09-09 10:30:00,2017-09-09 12:20:00
48121,Drawing I,6.0,['MO'],2017-09-09 10:30:00,2017-09-09 11:20:00,[],,
48121,Drawing I,6.0,"['WE', 'FR']",2017-09-09 10:30:00,2017-09-09 12:20:00,[],,
48200,Architecture Design Studio: Elaboration I,18.0,['MO'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48200,Architecture Design Studio: Elaboration I,18.0,['MO'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48200,Architecture Design Studio: Elaboration I,18.0,['MO'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
